"dataset_id","state","intercept","slope","rsquared","slope_sig","trend"
"EPA_forest","TX",-234.440533524343,0.127690717822314,0.994657192460948,"0.01","increase"
"EPA_forest","FL",349.49710472152,-0.149011927314088,0.999687532845858,"0.01","decrease"
"EPA_forest","CONUS",48.8699335958253,-0.00792885417160673,0.902462806600361,"0.01","decrease"
"EPA_forest","CA",158.025965628132,-0.0631966677908845,0.999670418186179,"0.01","decrease"
"EPA_forest","MT",-34.9883414187483,0.0305432154406733,0.9975610701076,"0.01","increase"
"EPA_forest","NV",-99.8245475558092,0.0540983065544777,0.998718458257589,"0.01","increase"
"EPA_forest","AZ",22.5822657828426,-0.00358044158515441,0.943551997848159,"0.01","decrease"
"EPA_forest","UT",-101.731952226889,0.0609864180604869,0.995681337299908,"0.01","increase"
"EPA_forest","KS",56.5689769395471,-0.0257907086255068,0.999416276924449,"0.01","decrease"
"EPA_forest","WY",93.0443818916241,-0.0382846008328193,0.184359109982365,"N/S","not sig"
"EPA_forest","NE",46.1842822854164,-0.0215044153953385,0.999301997507267,"0.01","decrease"
"EPA_forest","NM",-2.28171128576757,0.0103134466301255,0.996488020970947,"0.01","increase"
"EPA_forest","SD",-11.4063110411625,0.0075425385465189,0.99596812153514,"0.01","increase"
"EPA_forest","ID",-190.449952464138,0.114572773591102,0.998528661848717,"0.01","increase"
"EPA_forest","ND",-10.828567801932,0.00621198681636732,0.996478748274415,"0.01","increase"
"EPA_forest","IL",-58.4065169600246,0.035667552390604,0.999928281260304,"0.01","increase"
"EPA_forest","WA",80.3943730659845,-0.0138929933377528,0.947259313661064,"0.01","decrease"
"EPA_forest","CO",-49.0480210775374,0.0381325364328932,0.995411011551213,"0.01","increase"
"EPA_forest","MN",-77.6717215256787,0.0556067668297931,0.999987281147769,"0.01","increase"
"EPA_forest","OR",105.505552056707,-0.0283119265211548,0.9990986288884,"0.01","decrease"
"EPA_forest","MI",40.7032621674376,0.0072489757189094,0.978045434144795,"0.01","increase"
"EPA_forest","NC",175.501109548011,-0.0571905064439999,0.997082967823105,"0.01","decrease"
"EPA_forest","OK",775.665803143435,-0.371543896891832,0.997148601388066,"0.01","decrease"
"EPA_forest","MA",220.82897993424,-0.0800520011046313,0.998078011104306,"0.01","decrease"
"EPA_forest","VA",130.631665986308,-0.0333284888518486,0.997444720853003,"0.01","decrease"
"EPA_forest","GA",274.273219451259,-0.103010986471676,0.999769678116944,"0.01","decrease"
"EPA_forest","LA",-168.891513175864,0.11061369396968,0.998666140661321,"0.01","increase"
"EPA_forest","AL",98.0114508737172,-0.013322447774222,0.997045581847273,"0.01","decrease"
"EPA_forest","PA",290.928095741361,-0.11562465875777,0.999229178448354,"0.01","decrease"
"EPA_forest","MO",56.4664468827646,-0.0107316848625718,0.996956607796471,"0.01","decrease"
"EPA_forest","TN",70.7402688541225,-0.00905785597347867,0.91096079651597,"0.01","decrease"
"EPA_forest","NY",239.398130702027,-0.0882268059031444,0.999333209859868,"0.01","decrease"
"EPA_forest","ME",178.88737165322,-0.0446393451927187,0.997294204769186,"0.01","decrease"
"EPA_forest","MS",150.189547355807,-0.0426577011849358,0.991624463773375,"0.01","decrease"
"EPA_forest","WV",283.222929510926,-0.101647531830103,0.997215278706299,"0.01","decrease"
"EPA_forest","OH",220.179856609364,-0.0944829639700342,0.999630415796982,"0.01","decrease"
"EPA_forest","MD",305.88411327419,-0.132712060159942,0.99798387037267,"0.01","decrease"
"EPA_forest","SC",192.465562804988,-0.0622736053306113,0.998082934305207,"0.01","decrease"
"EPA_forest","NH",321.096279643335,-0.11860223725311,0.998621005228354,"0.01","decrease"
"EPA_forest","NJ",50.0473277223614,-0.00374735863126073,0.938190912340665,"0.01","decrease"
"EPA_forest","VT",375.5387198674,-0.148338358778683,0.999682158921697,"0.01","decrease"
"EPA_forest","CT",-290.324708678081,0.172094844030819,0.997786424583299,"0.01","increase"
"EPA_forest","DE",283.722859258304,-0.126852697426146,0.998723287242631,"0.01","decrease"
"EPA_forest","RI",224.124439178599,-0.0842818397749391,0.998976243206196,"0.01","decrease"
"EPA_forest","IA",-23.1075912621271,0.0153783251235108,0.999323039418386,"0.01","increase"
"EPA_forest","WI",129.151598572527,-0.0398726519438294,0.994405525695161,"0.01","decrease"
"EPA_forest","AR",178.43227512132,-0.0602834337254772,0.994822498492187,"0.01","decrease"
"EPA_forest","KY",254.682899962257,-0.102077985839642,0.999368044073666,"0.01","decrease"
"EPA_forest","IN",-3.38627058869118,0.011954197643177,0.934337048694948,"0.01","increase"
"FIA_forest","TX",-1487.27691358117,0.756301602905398,0.148987182015104,"N/S","not sig"
"FIA_forest","FL",-103.420425249775,0.0760157078888626,0.0896754198114675,"N/S","not sig"
"FIA_forest","CONUS",434.424983964996,-0.197946569826445,0.745642820617068,"0.01","decrease"
"FIA_forest","CA",583.290458445865,-0.274790596366376,0.672787050200539,"0.01","decrease"
"FIA_forest","MT",112.451899216407,-0.0423718703735096,0.105674659930638,"N/S","not sig"
"FIA_forest","NV",163.272258986198,-0.0737966126118841,0.190745414092339,"N/S","not sig"
"FIA_forest","AZ",56.6539158434482,-0.0157107868694809,0.00681884069126728,"N/S","not sig"
"FIA_forest","UT",248.937427572227,-0.107025480926286,0.269451891530838,"0.05","decrease"
"FIA_forest","KS",-105.133466316749,0.0545464336994022,0.280978948032378,"0.05","increase"
"FIA_forest","WY",2277.58463927397,-1.12297232483769,0.317718134292768,"N/S","not sig"
"FIA_forest","NE",-36.973622307657,0.0197955233099857,0.0775737080614578,"N/S","not sig"
