"","State","dataset_id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","1997","1998","1999"
"1","AL","FIA_forest",91680.4174144385,91381.7346347815,91188.8806079344,92852.2486202387,93206.134700948,91500.2103937585,93255.2249602761,92329.933358306,92106.7562444933,92732.3548779187,93432.4691093135,95935.830773059,91265.0962821056,92917.8148812207,93305.5506856064,90934.7136750281,94565.2466512669,94441.0404396398,93556.8592838561,92587.3578356977,94182.7709087889,93601.6758884752,90804.822252206,NA,NA,NA
"2","AL","FIA_timberland",91313.2249456045,91036.8604451537,90749.4688404202,92353.5872619611,92695.118837141,91130.4992857519,93255.2249602761,91636.0327334823,91699.6440563747,92278.3732039655,92942.8912245931,95599.2083939558,91076.7825432666,92917.8148812207,92619.9809382307,90501.4072094771,93983.8086337574,94023.3385744493,93092.7399556502,92371.2628479083,94182.7709087889,93418.389327509,90402.4032167891,NA,NA,NA
"3","AZ","FIA_forest",NA,76206.1847862581,75324.4917605803,73752.7571664612,67296.2440740815,74172.4762904557,73103.337579507,75289.8522504516,73490.5111550153,76671.478967282,76451.0865820113,77966.0595199205,75139.3824244343,72165.4894092219,69749.1092761127,72848.8986224686,67157.1176394939,73936.3041297635,72241.6854448795,78726.3262954177,NA,NA,NA,NA,NA,NA
"4","AZ","FIA_timberland",NA,11350.196343063,10907.0575131949,12639.4805312558,11198.5053708033,11477.777214632,11676.1672795842,13234.6648679968,12037.1477189371,12917.5681109289,13014.2139644343,10613.1138491602,10076.1076311903,11425.0663278893,12310.9550372868,13386.7327798466,8400.53265747505,12070.7553371229,13045.806556841,12781.5643368033,NA,NA,NA,NA,NA,NA
"5","AR","FIA_forest",73699.9084241581,NA,73722.3058933988,73010.4348550282,74597.5440048525,75152.6219783191,75470.3155655754,75738.8419721274,76161.7336461125,75965.5069197291,75703.4024109764,76440.5314609164,78211.0402026214,77129.4287578514,76161.709790793,76687.010197622,75919.0998333443,77030.1803805946,76852.7751124537,75916.9339621754,75780.7464159604,75671.8013636261,NA,NA,NA,NA
"6","AR","FIA_timberland",71745.4645640074,NA,71518.73977448,70878.1465396474,72918.9471968192,71115.6607478112,73154.7406749033,73436.0015409512,74557.6115836185,73762.088554185,73120.9263286057,74073.084619026,75945.2534716928,75997.0149030778,73605.0780290643,73680.8629594617,73495.9789605927,75114.515447114,75626.4508950472,73599.3558580196,72860.0499731387,73502.0669799678,NA,NA,NA,NA
"7","CA","FIA_forest",NA,133007.064600752,135441.613652963,129836.11683833,133091.460553514,135009.603583332,132130.895392028,127175.148823089,130594.877085807,126395.571080489,130559.417320147,118607.210159242,117342.50797218,110373.000102212,115248.74306749,122169.427479803,120580.295929809,117658.853102799,118695.470618456,119535.357445049,NA,NA,NA,NA,NA,NA
"8","CA","FIA_timberland",NA,71248.2245509674,67524.7228130258,67705.6305208678,66274.7095596417,66957.6387870815,70161.1627669878,64211.1481416273,66918.1854544438,63769.6357287978,67637.5257797693,65533.9679984075,64191.563749327,59131.3372917756,61051.9662806158,61177.3584897502,60866.787565112,58560.4698933364,59133.2609433985,60590.0555034185,NA,NA,NA,NA,NA,NA
"9","CO","FIA_forest",NA,NA,86278.0534724973,92708.2422561706,90572.3558059494,94402.6946217549,90168.1856009768,93424.4574607194,94803.9869724591,94546.5033620981,95374.909958759,92173.0210034198,87476.1242144581,92760.5171781007,91754.6183167575,89374.842535398,88911.2086714147,93608.5083885264,96220.0283772599,93378.367854372,NA,NA,NA,NA,NA,NA
"10","CO","FIA_timberland",NA,NA,44773.1549274868,46663.0508474132,43040.5548518951,49107.5475707846,42446.9585436574,43291.7819454633,45516.1925939848,41080.8265339944,43880.3659500211,41281.5233984189,42068.3529169911,45799.2456510874,41710.0504619935,46720.3070001173,39893.1629773754,40219.6852343348,44485.5785743064,40155.1608827691,NA,NA,NA,NA,NA,NA
"11","CT","FIA_forest",NA,NA,NA,6682.64734941214,7283.14024335311,7490.16875211962,6484.8500167627,6805.7177661921,6210.89216567371,6702.69334926378,7530.84550355524,6475.81658975699,7612.27672995522,7388.30380303445,7050.74721791745,6918.84776321822,7394.6990933197,6423.8981167447,8162.60460477503,7073.17163695402,7205.84523844437,6888.31588052807,NA,NA,NA,NA
"12","CT","FIA_timberland",NA,NA,NA,6682.64734941214,6892.77876933956,7222.95431966364,6397.88167098296,6480.06967850724,6176.98703999321,6462.39930692333,7530.84550355524,6475.81658975699,7327.28581582948,7156.57932274647,6682.80700448924,6904.21661005851,7394.6990933197,6423.8981167447,7983.07507312033,7009.74141085159,6861.12033383064,6633.03811900707,NA,NA,NA,NA
"13","DE","FIA_forest",NA,NA,NA,NA,1631.53661111059,1800.11569873648,1486.97817580829,1322.92415276382,1293.82499081134,1250.32304644339,1560.75880464551,1456.05513004596,1512.55108383581,1458.30614122869,1039.15372004562,1271.14773014441,1508.56535839762,1496.31934524561,1359.12964151629,1432.72085897121,1111.65984404082,1200.9817576833,NA,NA,NA,NA
"14","DE","FIA_timberland",NA,NA,NA,NA,1443.5776553244,1800.11569873648,1445.82166260665,1322.92415276382,1252.67949559634,1049.66946791559,1510.81959070306,1410.56695631881,1512.55108383581,1458.30614122869,987.500007170087,1126.18033357323,1460.97843819944,1466.16584771646,1359.12964151629,1345.45155706267,1111.65984404082,1149.97631972839,NA,NA,NA,NA
