"state","forest_type","1982","1987","1992","1997","2002","2007","2012","2017"
"NJ","grazed",2000,2000,3000,2000,1000,1000,1000,4000
"NJ","notgrazed",1913000,1868000,1842000,1743000,1672000,1645000,1630000,1623000
"NJ","total",1915000,1870000,1845000,1745000,1673000,1646000,1631000,1627000
"NM","grazed",4789000,4632000,4762000,4990000,4821000,4658000,4709000,4620000
"NM","notgrazed",759000,763000,781000,763000,789000,927000,895000,983000
"NM","total",5548000,5395000,5543000,5753000,5610000,5585000,5604000,5603000
"NV","grazed",291000,296000,297000,249000,253000,209000,176000,162000
"NV","notgrazed",90000,87000,87000,84000,87000,129000,162000,176000
"NV","total",381000,383000,384000,333000,340000,338000,338000,338000
"NY","grazed",247000,287000,266000,260000,177000,161000,127000,131000
"NY","notgrazed",16326000,16615000,16970000,17208000,17245000,17313000,17378000,17414000
"NY","total",16573000,16902000,17236000,17468000,17422000,17474000,17505000,17545000
"OH","grazed",556000,590000,519000,475000,348000,271000,284000,268000
"OH","notgrazed",6171000,6361000,6455000,6603000,6820000,6860000,6851000,6878000
"OH","total",6727000,6951000,6974000,7078000,7168000,7131000,7135000,7146000
"OK","grazed",5470000,5703000,5915000,6023000,5843000,5881000,5916000,5901000
"OK","notgrazed",1972000,1909000,1854000,1798000,2075000,2133000,2196000,2212000
"OK","total",7442000,7612000,7769000,7821000,7918000,8014000,8112000,8113000
"OR","grazed",3851000,3729000,3758000,3777000,3657000,3580000,3476000,3424000
"OR","notgrazed",8564000,8635000,8569000,8539000,8751000,8830000,8921000,8946000
"OR","total",12415000,12364000,12327000,12316000,12408000,12410000,12397000,12370000
"PA","grazed",284000,259000,261000,224000,146000,131000,128000,126000
"PA","notgrazed",15314000,15413000,15278000,15367000,15516000,15515000,15513000,15548000
"PA","total",15598000,15672000,15539000,15591000,15662000,15646000,15641000,15674000
"RI","grazed",1000,1000,1000,NA,NA,1000,0,1000
"RI","notgrazed",396000,391000,383000,383000,373000,365000,360000,359000
"RI","total",397000,392000,384000,NA,NA,366000,360000,360000
"SC","grazed",332000,298000,260000,215000,184000,153000,143000,140000
"SC","notgrazed",11028000,11063000,11051000,11052000,11046000,11010000,11021000,11060000
"SC","total",11360000,11361000,11311000,11267000,11230000,11163000,11164000,11200000
"SD","grazed",464000,466000,460000,451000,440000,424000,414000,414000
"SD","notgrazed",134000,134000,135000,134000,150000,163000,174000,166000
"SD","total",598000,6e+05,595000,585000,590000,587000,588000,580000
"TN","grazed",1027000,1025000,1012000,948000,777000,656000,624000,571000
"TN","notgrazed",10997000,11013000,11004000,10993000,11111000,11209000,11263000,11410000
"TN","total",12024000,12038000,12016000,11941000,11888000,11865000,11887000,11981000
"TX","grazed",7314000,7239000,7078000,6559000,6659000,7056000,7229000,7382000
"TX","notgrazed",6891000,7543000,7953000,9119000,9017000,8819000,8667000,8574000
"TX","total",14205000,14782000,15031000,15678000,15676000,15875000,15896000,15956000
"UT","grazed",1800000,1763000,1738000,1874000,1745000,1591000,1507000,1510000
"UT","notgrazed",486000,511000,502000,477000,576000,723000,818000,808000
"UT","total",2286000,2274000,2240000,2351000,2321000,2314000,2325000,2318000
"VA","grazed",856000,697000,652000,547000,429000,374000,382000,406000
"VA","notgrazed",12847000,13066000,13061000,13046000,13031000,12956000,12882000,12901000
"VA","total",13703000,13763000,13713000,13593000,13460000,13330000,13264000,13307000
"VT","grazed",87000,75000,70000,47000,26000,26000,26000,27000
"VT","notgrazed",4055000,4060000,4060000,4079000,4075000,4049000,4033000,4017000
"VT","total",4142000,4135000,4130000,4126000,4101000,4075000,4059000,4044000
"WA","grazed",3066000,3070000,3088000,3034000,2879000,2693000,2612000,2608000
"WA","notgrazed",9786000,9704000,9569000,9531000,9543000,9663000,9715000,9683000
"WA","total",12852000,12774000,12657000,12565000,12422000,12356000,12327000,12291000
"WI","grazed",963000,875000,802000,843000,720000,780000,810000,818000
"WI","notgrazed",13321000,13497000,13586000,13650000,13893000,13921000,13923000,13977000
"WI","total",14284000,14372000,14388000,14493000,14613000,14701000,14733000,14795000
"WV","grazed",789000,721000,711000,715000,630000,593000,552000,522000
"WV","notgrazed",9585000,9828000,9825000,9795000,9824000,9869000,9937000,10012000
"WV","total",10374000,10549000,10536000,10510000,10454000,10462000,10489000,10534000
"WY","grazed",969000,984000,988000,987000,945000,967000,959000,955000
"WY","notgrazed",118000,107000,105000,104000,145000,126000,128000,132000
"WY","total",1087000,1091000,1093000,1091000,1090000,1093000,1087000,1087000
